"game_id","location_team","period","stint","team","opp","lineup_team","lineup_opp","secs_game_start","secs_game_end","secs_played","poss_team","pts_team","poss_opp","pts_opp"
"0042300111","home",1,1,"NYK","PHI","1628384 OG Anunoby, 1628392 Isaiah Hartenstein, 1628404 Josh Hart, 1628973 Jalen Brunson, 1628978 Donte DiVincenzo","1626162 Kelly Oubre Jr., 1630178 Tyrese Maxey, 200768 Kyle Lowry, 202699 Tobias Harris, 203954 Joel Embiid",0,438,438,13,15,12,18
"0042300111","away",1,1,"PHI","NYK","1626162 Kelly Oubre Jr., 1630178 Tyrese Maxey, 200768 Kyle Lowry, 202699 Tobias Harris, 203954 Joel Embiid","1628384 OG Anunoby, 1628392 Isaiah Hartenstein, 1628404 Josh Hart, 1628973 Jalen Brunson, 1628978 Donte DiVincenzo",0,438,438,12,18,13,15
"0042300111","home",1,2,"NYK","PHI","1628384 OG Anunoby, 1628392 Isaiah Hartenstein, 1628404 Josh Hart, 1628973 Jalen Brunson, 1628978 Donte DiVincenzo","1626162 Kelly Oubre Jr., 1630178 Tyrese Maxey, 200768 Kyle Lowry, 201587 Nicolas Batum, 203954 Joel Embiid",438,470,32,1,0,1,2
"0042300111","away",1,2,"PHI","NYK","1626162 Kelly Oubre Jr., 1630178 Tyrese Maxey, 200768 Kyle Lowry, 201587 Nicolas Batum, 203954 Joel Embiid","1628384 OG Anunoby, 1628392 Isaiah Hartenstein, 1628404 Josh Hart, 1628973 Jalen Brunson, 1628978 Donte DiVincenzo",438,470,32,1,2,1,0
"0042300111","home",1,3,"NYK","PHI","1628392 Isaiah Hartenstein, 1628404 Josh Hart, 1628973 Jalen Brunson, 1628978 Donte DiVincenzo, 202711 Bojan Bogdanovic","1626162 Kelly Oubre Jr., 1630178 Tyrese Maxey, 200768 Kyle Lowry, 201587 Nicolas Batum, 203954 Joel Embiid",470,487,17,0,0,1,0
"0042300111","away",1,3,"PHI","NYK","1626162 Kelly Oubre Jr., 1630178 Tyrese Maxey, 200768 Kyle Lowry, 201587 Nicolas Batum, 203954 Joel Embiid","1628392 Isaiah Hartenstein, 1628404 Josh Hart, 1628973 Jalen Brunson, 1628978 Donte DiVincenzo, 202711 Bojan Bogdanovic",470,487,17,1,0,0,0
"0042300111","home",1,4,"NYK","PHI","1628404 Josh Hart, 1628973 Jalen Brunson, 1628978 Donte DiVincenzo, 1629011 Mitchell Robinson, 202711 Bojan Bogdanovic","1626162 Kelly Oubre Jr., 1630178 Tyrese Maxey, 200768 Kyle Lowry, 201587 Nicolas Batum, 203954 Joel Embiid",487,561,74,3,2,2,5
"0042300111","away",1,4,"PHI","NYK","1626162 Kelly Oubre Jr., 1630178 Tyrese Maxey, 200768 Kyle Lowry, 201587 Nicolas Batum, 203954 Joel Embiid","1628404 Josh Hart, 1628973 Jalen Brunson, 1628978 Donte DiVincenzo, 1629011 Mitchell Robinson, 202711 Bojan Bogdanovic",487,561,74,2,5,3,2
"0042300111","home",1,5,"NYK","PHI","1628404 Josh Hart, 1628973 Jalen Brunson, 1628978 Donte DiVincenzo, 1629011 Mitchell Robinson, 202711 Bojan Bogdanovic","1626162 Kelly Oubre Jr., 1627741 Buddy Hield, 200768 Kyle Lowry, 201587 Nicolas Batum, 203954 Joel Embiid",561,646,85,2,2,3,7
"0042300111","away",1,5,"PHI","NYK","1626162 Kelly Oubre Jr., 1627741 Buddy Hield, 200768 Kyle Lowry, 201587 Nicolas Batum, 203954 Joel Embiid","1628404 Josh Hart, 1628973 Jalen Brunson, 1628978 Donte DiVincenzo, 1629011 Mitchell Robinson, 202711 Bojan Bogdanovic",561,646,85,3,7,2,2
"0042300111","home",1,6,"NYK","PHI","1628404 Josh Hart, 1628973 Jalen Brunson, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic","1626162 Kelly Oubre Jr., 1627741 Buddy Hield, 200768 Kyle Lowry, 201587 Nicolas Batum, 203954 Joel Embiid",646,689.6,43.6,2,5,1,0
"0042300111","away",1,6,"PHI","NYK","1626162 Kelly Oubre Jr., 1627741 Buddy Hield, 200768 Kyle Lowry, 201587 Nicolas Batum, 203954 Joel Embiid","1628404 Josh Hart, 1628973 Jalen Brunson, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic",646,689.6,43.6,1,0,2,5
"0042300111","home",1,7,"NYK","PHI","1628404 Josh Hart, 1628973 Jalen Brunson, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic","1627741 Buddy Hield, 1630178 Tyrese Maxey, 201587 Nicolas Batum, 202699 Tobias Harris, 203954 Joel Embiid",689.6,712.8,23.1999999999999,1,1,1,2
"0042300111","away",1,7,"PHI","NYK","1627741 Buddy Hield, 1630178 Tyrese Maxey, 201587 Nicolas Batum, 202699 Tobias Harris, 203954 Joel Embiid","1628404 Josh Hart, 1628973 Jalen Brunson, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic",689.6,712.8,23.1999999999999,1,2,1,1
"0042300111","home",1,8,"NYK","PHI","1628404 Josh Hart, 1628978 Donte DiVincenzo, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic","1627741 Buddy Hield, 1630178 Tyrese Maxey, 201587 Nicolas Batum, 202699 Tobias Harris, 203954 Joel Embiid",712.8,720,7.20000000000005,0,0,1,0
"0042300111","away",1,8,"PHI","NYK","1627741 Buddy Hield, 1630178 Tyrese Maxey, 201587 Nicolas Batum, 202699 Tobias Harris, 203954 Joel Embiid","1628404 Josh Hart, 1628978 Donte DiVincenzo, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic",712.8,720,7.20000000000005,1,0,0,0
"0042300111","home",2,1,"NYK","PHI","1628404 Josh Hart, 1628978 Donte DiVincenzo, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic","1627741 Buddy Hield, 1630178 Tyrese Maxey, 1630194 Paul Reed, 201587 Nicolas Batum, 202699 Tobias Harris",720,872,152,4,11,4,2
"0042300111","away",2,1,"PHI","NYK","1627741 Buddy Hield, 1630178 Tyrese Maxey, 1630194 Paul Reed, 201587 Nicolas Batum, 202699 Tobias Harris","1628404 Josh Hart, 1628978 Donte DiVincenzo, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic",720,872,152,4,2,4,11
"0042300111","home",2,2,"NYK","PHI","1628404 Josh Hart, 1628978 Donte DiVincenzo, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic","1626166 Cameron Payne, 1630178 Tyrese Maxey, 1630194 Paul Reed, 201587 Nicolas Batum, 202699 Tobias Harris",872,986,114,3,2,3,4
"0042300111","away",2,2,"PHI","NYK","1626166 Cameron Payne, 1630178 Tyrese Maxey, 1630194 Paul Reed, 201587 Nicolas Batum, 202699 Tobias Harris","1628404 Josh Hart, 1628978 Donte DiVincenzo, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic",872,986,114,3,4,3,2
"0042300111","home",2,3,"NYK","PHI","1628404 Josh Hart, 1628973 Jalen Brunson, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic","1626166 Cameron Payne, 1630178 Tyrese Maxey, 1630194 Paul Reed, 201587 Nicolas Batum, 202699 Tobias Harris",986,1026,40,1,2,2,0
"0042300111","away",2,3,"PHI","NYK","1626166 Cameron Payne, 1630178 Tyrese Maxey, 1630194 Paul Reed, 201587 Nicolas Batum, 202699 Tobias Harris","1628404 Josh Hart, 1628973 Jalen Brunson, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic",986,1026,40,2,0,1,2
"0042300111","home",2,4,"NYK","PHI","1628384 OG Anunoby, 1628973 Jalen Brunson, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic","1626162 Kelly Oubre Jr., 1630178 Tyrese Maxey, 200768 Kyle Lowry, 201587 Nicolas Batum, 203954 Joel Embiid",1026,1283,257,9,11,8,6
"0042300111","away",2,4,"PHI","NYK","1626162 Kelly Oubre Jr., 1630178 Tyrese Maxey, 200768 Kyle Lowry, 201587 Nicolas Batum, 203954 Joel Embiid","1628384 OG Anunoby, 1628973 Jalen Brunson, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic",1026,1283,257,8,6,9,11
"0042300111","home",2,5,"NYK","PHI","1628384 OG Anunoby, 1628973 Jalen Brunson, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic","1626162 Kelly Oubre Jr., 1630178 Tyrese Maxey, 1630194 Paul Reed, 200768 Kyle Lowry, 201587 Nicolas Batum",1283,1351,68,2,2,2,0
"0042300111","away",2,5,"PHI","NYK","1626162 Kelly Oubre Jr., 1630178 Tyrese Maxey, 1630194 Paul Reed, 200768 Kyle Lowry, 201587 Nicolas Batum","1628384 OG Anunoby, 1628973 Jalen Brunson, 1629011 Mitchell Robinson, 1630540 Miles McBride, 202711 Bojan Bogdanovic",1283,1351,68,2,0,2,2
